1194,"Gandhi Engineering College, Badaraghunathpur",246,11941001,11941246,Orissa
1307,Gandhi Institute For Technology,150,13071001,13071150,Orissa
1079,"Geeta Institute Of Management & Technology, Kurukshetra",286,10791001,10791286,Haryana
1294,Geetanjali Institute of Science and Technology,150,12941001,12941150,Andhra Pradesh
1059,"Gf Gharda Institute Of Technology, Lavel",246,10591001,10591246,Maharashtra
1295,Gitam University Hyderabad Campus,184,12951001,12951184,Andhra Pradesh
1203,Gnanamani College Of Engineering Namakkal,184,12031001,12031184,Tamil Nadu
1058,"Goa College Of Engineering, Farmagudi Ponda",246,10581001,10581246,Goa
1210,"Gogte Institute Of Technology, Udyambag",286,12101001,12101286,Karnataka
7003,Goverment College of Engineering Amravati,40,70031001,70031040,Maharashtra
1003,"Government College Of Engineering, Salem",246,10031001,10031246,Tamil Nadu
1141,Government Engineering College,184,11411001,11411184,Kerala
1317,"Government Engineering College, Bikaner",185,13171001,13171185,Rajasthan
1142,"Government Engineering College, Sreekrishnapuram",246,11421001,11421246,Kerala
1187,"Government Engineering College, Thrissur",246,11871001,11871246,Kerala
1080,"Griet, Kukatpally",286,10801001,10801286,Andhra Pradesh
1273,"Gudlavalleru Engineering College, Gudlavalleru",246,12731001,12731246,Andhra Pradesh
1081,"Gvit, Bhimavaram",286,10811001,10811286,Andhra Pradesh
1257,"Hctm Technical Campus, Kaithal",246,12571001,12571246,Haryana
1082,"Hindustan Institute Of Technology And Management, Agra",246,10821001,10821246,Uttar Pradesh
1269,"Iercem Institute Of Information Technology, Banipur",247,12691001,12691247,West Bengal
1200,"Ies College Of Technology, Bhopal",246,12001001,12001246,Madhya Pradesh
1083,IIIT Hyderabad,244,10831001,10831244,Andhra Pradesh
1000,IIT Bombay,7120,10001001,10007120,Maharashtra
8000,IIT Bombay DBP Account,846,80001001,80001846,Maharashtra
8013,IIT DELHI,50,80131001,80131050,Delhi
8001,IIT Kharagpur,369,80011001,80011369,West Bengal
8004,IIT Mandi,254,80041001,80041254,Himachal Pradesh
8009,Indian Institute of Technology Gandhinagar,254,80091001,80091254,Gujarat
8003,Indian Institute of Technology Guwahati,254,80031001,80031254,Assam
8008,Indian Institute of Technology Hyderabad,254,80081001,80081254,Andhra Pradesh
1143,"Indur Institute Of Engineering & Technology, Siddipet",246,11431001,11431246,Andhra Pradesh
1084,"Institute Of Road And Transport Technology, Erode",246,10841001,10841246,Tamil Nadu
1039,"Ips Academy, Indore",246,10391001,10391246,Madhya Pradesh
1201,"Islamic University Of Science And Technology, Awantipora",246,12011001,12011246,Jammu and Kashmir
1227,J.J. Magdum College Of Engineering,184,12271001,12271184,Maharashtra
1037,"Jabalpur Engineering College, Jabalpur",246,10371001,10371246,Madhya Pradesh
1011,"Jaipur Engineering College, Kukas",246,10111001,10111246,Rajasthan
1207,"Jawaharlal Institute Of Technology, Borawan",306,12071001,12071306,Madhya Pradesh
1271,"Jawaharlal Nehru National College Of Engineering, Shimoga",246,12711001,12711246,Karnataka
1232,Jayalakshmi Institute Of Technology,184,12321001,12321184,Tamil Nadu
1251,"Jaypee Institute Of Information Technology, Noida-128",246,12511001,12511246,Uttar Pradesh
1335,JIS COLLEGE of ENGINEERING,150,13351001,13351150,West Bengal
1086,JNTU College Of Engineering Hyderabad,134,10861001,10861134,Andhra Pradesh
1087,"Joginpally B. R. Engineering College, Yenkapally",246,10871001,10871246,Andhra Pradesh
1088,K K Wagh Instituite Of Engineering Education Research,184,10881001,10881184,Maharashtra
1301,"K L E Institute Of Technology, Hubli-30",184,13011001,13011184,Karnataka
1016,"K. J. Somaiya College Of Engineering, Vidyavihar",246,10161001,10161246,Maharashtra
1090,"K.C.E. Society, Coeit, Jalgaon",246,10901001,10901246,Maharashtra
1092,"K.I.T. College Of Engineering, Gokul Shirgaon",246,10921001,10921246,Maharashtra
1089,"K.L.E. College Of Engineering & Technology, Chikodi",246,10891001,10891246,Karnataka
1242,"K.L.E. Society`S College Of Engineering & Technology, Belgaum",246,12421001,12421246,Karnataka
1313,K.S. Rangasamy College of Technology,150,13131001,13131150,Tamil Nadu
1036,"Kakinada Institute Of Engineering & Technology, Kakinada",286,10361001,10361286,Andhra Pradesh
1212,"Kalyani Government Engineering College, Kalyani",246,12121001,12121246,West Bengal
1283,"Kanksa Academy Of Technology & Management, Panagarh",246,12831001,12831246,West Bengal
1332,Kashi Institute of Technology,145,13321001,13321145,Uttar Pradesh
1314,Kathir College Of Engineering,184,13141001,13141184,Tamil Nadu
1305,Kavikulguru Institute of Technology and Science,150,13051001,13051150,Maharashtra
1209,"Kiit College Of Engineering, Bhondsi",246,12091001,12091246,Haryana
1145,"Kmea Engineering College, Aluva",286,11451001,11451286,Kerala
1146,"Knowledge Institute Of Technology, Kakapalayam",246,11461001,11461246,Tamil Nadu
1147,"Kongu Engineering College, Perundurai",286,11471001,11471286,Tamil Nadu
1148,"Krishna Institute Of Engineering & Technology, Ghaziabad",246,11481001,11481246,Uttar Pradesh
1220,"Kurukshetra Institute Of Technology & Management, Kurukshetra",246,12201001,12201246,Haryana
1300,Kurukshetra University Electronic Science Department,184,13001001,13001184,Haryana
1326,L.R. Institute of Engineering and Technology,150,13261001,13261150,Himachal Pradesh
1093,LDRP Institute of Technology and Research,150,10931001,10931150,Gujarat
1149,"Lenora College Of Engineering, Rampachodavaram",246,11491001,11491246,Andhra Pradesh
1094,"Lourdes Matha College Of Science & Technology, Trivandrum",246,10941001,10941246,Kerala
1228,"Loyola-icam College Of Engineering & Technology, Chennai",246,12281001,12281246,Tamil Nadu
1034,"M. E. Society`S Imcc, Pune",246,10341001,10341246,Maharashtra
1095,"M. S. Bidve Engineering College, Latur",246,10951001,10951246,Maharashtra
1265,"Madhav Institute Of Technology & Science, Gwalior",246,12651001,12651246,Madhya Pradesh
1057,"Madhuben & Bhanubhai Patel Women`S Institute Of Engineering, Anand",246,10571001,10571246,Gujarat
1096,"Mahakal Institute Of Technology, Ujjain",246,10961001,10961246,Madhya Pradesh
1238,"Maharaja Agrasen Institute Of Technology, Rohini",246,12381001,12381246,Delhi
1097,"Maharaja Institute Of Technology, Belavadi",246,10971001,10971246,Karnataka
